Name,Industry,Number of employees,Website,Key people,Revenue,Founded,Headquarters
Shimadzu Corporation,Precision Instruments,"10,395 (as of March 31, 2013)",http://www.shimadzu.com/index.html,"Akira Nakamoto, ( CEO and President )","$ 2.8 billion ( FY 2012)
                   ( ¥ 264.048 billion) (FY 2012)","Kyoto , Japan (1875 ( 1875 ) )","1, Nishinokyo-Kuwabara-cho, Nakagyo-ku , Kyoto 604-8511, Japan"
"Keisei Electric Railway Company, Ltd.",Private railroad,"1,872 (2005)",http://www.keisei.co.jp,Tsutomu Hanada (President),,30 June 1909 ; 110 years ago ( 1909-06-30 ),"Yawata, Ichikawa, Chiba , Japan"
SHIFT Inc.,Software testing,1971 (August 2017),"http://www.shiftinc.jp/en/,http://www.shiftinc.jp",Masaru Tange (President and CEO),"¥8,171 million ( FY 2017)","September 7, 2005 ; 14 years ago ( 2005-09-07 ) in Shibuya , Tokyo , Japan","Minato , Tokyo , Japan"
"Shimano, Inc.",Leisure products,"11,829 (consolidated, as of December 31, 2017)",http://www.shimano.com/en/index.html,Yozo Shimano ( CEO and President ),"$ 2.93 billion ( FY 2017)
                   ( ¥ 322.99 billion) (FY 2017)",February 1921 ; 98 years ago ( 1921-02 ),"3-77 Oimatsu-cho, Sakai-ku , Sakai City , Osaka Prefecture 590-8577, Japan [1]"
Sharp Corporation,Consumer electronics,"41,898 (2018) (Foxconn 803,126) [3]",http://www.sharp.co.jp,Jeng-wu Tai [2] ( President ),¥ 2.050 trillion (2017) [3],"15 September 1912 ; 107 years ago ( 1912-09-15 ) Tokyo , Japan [1]","Sakai-ku, Sakai , Japan Taipei , Taiwan"
The 77 Bank Ltd ,Banking Financial Services,"2,724",http://www.77bank.co.jp/,"Hiroshi Kamata (Chairman), Teruhiko Ujiie (President) Yoshiaki Nagayama (Deputy President)",,"Sendai, Miyagi , Japan","Sendai , Japan (December 1878)"
"Seven & I Holdings Co., Ltd.",Retailing,"55,011 (2013)",http://www.7andi.com/en/,"Ryuichi Isaka, President",¥ 4.786 trillion (2012),"September 1, 2005 ( 2005-09-01 ) (from merger)","8-8, Nibancho, Chiyoda, Tokyo , Japan"
"Sekisui House, Ltd.",Real Estate,,http://www.sekisuihouse.co.jp/english/index.html,Isami Wada (former CEO),,1960,"Osaka , Japan"
Seiko Epson Corporation,Electronics,"67,605 [1]",https://epson.com/,Seiji Hanaoka (Chairman) Minoru Usui (President),¥ 1.092 trillion (2015) US$ 9.7 billion [1],"May 1942 ; 77 years ago ( 1942-05 ) (as Daiwa Kogyo, Ltd.) Suwa , Nagano , Japan","Suwa, Nagano , Japan (Officially registered in Shinjuku, Tokyo )"
Seibu Holdings Inc.,,317 (As of March 2014),http://www.seibuholdings.co.jp/,Takashi Gotō,,"February 3, 2006 [1]","1-16-15 Minami- Ikebukuro , Toshima-ku , Tokyo , Japan"
Seiko Holdings Corporation,"Watch Manufacturing, Precision Instruments, Machinery, Fashion Accessories, Optics","13,065 (March 31, 2017, consolidated) [3]",http://www.seiko.co.jp/en/,"Shinji Hattori, Chairman and CEO [1]","¥ 257.1 billion (FY2016, consolidated) [2]","Chūō , Tokyo , Japan 1881 ; 138 years ago ( 1881 ) (incorporated in 1917)","1-26-1 Ginza , Chūō, Tokyo, Japan (Officially registered at 4-5-11 Ginza, Chūō, Tokyo, Japan)"
Sega Sammy Holdings Inc.,Mass media,"7,993 (2019)",http://www.segasammy.co.jp/english/,Hajime Satomi (Chairman and CEO) Haruki Satomi (President and COO),"¥ 331,648 million (2019) [1]","October 1, 2004 ; 15 years ago ( 2004-10-01 )","Sumitomo Fudosan Osaki Garden Tower, Nishi-Shinagawa, Shinagawa-ku, Tokyo , Japan"
SBI Holdings,Financial Services,5931,http://www.sbigroup.co.jp/english/,,,"1999 as SoftBank Investment Co., Ltd.","Tokyo , Japan"
"Santen Pharmaceutical Co., Ltd.",Pharmaceutical,"3,050 (consolidated) (as of March 31, 2013)",http://www.santen.com/en/,"Akira Kurokawa, ( CEO and President )","$ 1.265 billion ( FY 2012)
                   ( ¥ 119.066 billion) (FY 2012)","Osaka , Japan (1890 ( 1890 ) )","Grand Front Osaka Tower A, 4-20 Ofuka-cho, Kita-ku , Osaka 530-8552, Japan"
