title,industry,address,website
TESSENDERLO,"1000, BasicMaterials","Tessenderlo Group Troonstraat Rue du Trône Brussels 130 BE-1050 Bruxelles, Bruxelles-Capitale Belgium",http://www.tessenderlogroup.com
TINC,"8000, Financials","TINC Comm. Karel Oomsstraat 37 BE-2018 Antwerpen, Antwerpen Belgium",http://www.tincinvest.com
MONTEA C.V.A.,"8000, Financials","Montea Industriezone Z III Zuid Industrielaan 27 bus 6 BE-9320 Erembodegem, Aalst, Oost-Vlaanderen Belgium",http://www.montea.com
EVS BROADC.EQUIPM.,"2000, Industrials","EVS Broadcast Equipment Liege Science Park Rue Bois Saint-Jean 13 BE-4102 Ougrée, Seraing, Liège Belgium",https://evs.com/en/corporate/investor-relations
CELYAD,"4000, HealthCare","Celyad SA Rue Edouard Belin 2 BE-1435 Mont-Saint-Guibert, Brabant wallon Belgium",https://www.celyad.com/en/home
DECEUNINCK,"2000, Industrials","Deceuninck NV Bruggesteenweg 360 BE-8830 Hooglede, West-Vlaanderen Belgium",http://www.deceuninck.com/en/investors.aspx
ALD,"2000, Industrials",ALD 1-3 Rue Eugene et Armand Peugeot FR-92500 Rueil-Malmaison France,http://www.aldautomotive.com
GROUPE SFPI,"5000, Consumer Services",Groupe SFPI 20 Rue de l&#039;Arc de Triomphe FR-75017 Paris France,http://www.groupe-sfpi.com
MEDIANTECHNOLOGIES,"9000, Technology",Median Technologies Les Deux Arcs - Batiment B 1800 Route des Crêtes FR-06560 Valbonne France,http://www.mediantechnologies.com
MEDICREA INTERNAT.,"4000, HealthCare",Medicrea International 5389 Route de Strasbourg FR-69140 Rillieux-la-Pape France,http://www.medicrea.com
ABC ARBITRAGE,"8000, Financials",ABC arbitrage 18 Rue du Quatre Septembre FR-75002 Paris France,http://www.abc-arbitrage.com
VERGNET,"0001, Oil & Gas",Vergnet S.A. 12 Rue des Châtaigniers FR-45140 Ormes France,http://www.vergnet.com/fr/investisseurs/
SUPERSONIC IMAGINE,"4000, HealthCare",SuperSonic Imagine Les jardins de la Duranne - Bât E et Bât F 510 Rue René Descartes FR-13857 Aix-en-Provence Cedex 3 France,http://www.supersonicimagine.fr
WENDEL,"8000, Financials",Wendel 89 Rue Taitbout FR-75009 Paris France,http://www.wendelgroup.com
PLAST.VAL LOIRE,"1000, BasicMaterials",Plastiques du Val-de-Loire Zone Industrielle Nord Les Vallées BP 38 FR-37130 Langeais France,http://www.plastivaloire.com
QUADIENT,"9000, Technology",Quadient 42-46 Avenue Aristide Briand FR-92220 Bagneux France,https://www.quadient.com/connections
HSBC HOLDINGS,"8000, Financials",HSBC Holdings Plc 8 Canada Square E14 5HQ London United Kingdom,http://www.hsbc.com
OL GROUPE,"5000, Consumer Services",Olympique Lyonnais Groupe Parc Olympique Lyonnais 10 Avenue Simone Veil CS 70712 FR-69153 Décines cedex France,http://www.olweb.fr
SPINEGUARD,"4000, HealthCare",SpineGuard 10/12 Cours Louis Lumière FR-94300 Vincennes France,http://www.spineguard.com
ALTEN,"9000, Technology",Alten 40 Avenue André Morizet FR-92100 Boulogne-Billancourt France,http://www.alten.fr
ALBIOMA,"7000, Utilities",Albioma Tour Opus 12 77 Esplanade du Général de Gaulle FR-92914 La Défense Cedex France,http://www.albioma.com
HERMES INTL,"3000, ConsumerGoods",Hermès International 24 Rue du Faubourg Saint-Honoré FR-75008 Paris France,http://www.hermes-international.com
BIGBEN INTERACTIVE,"3000, ConsumerGoods",Bigben Interactive CRT-2 396/466 Rue de la Voyette FR-59818 Lesquin Cedex France,http://fr.bigben-group.com/
GTT,"0001, Oil & Gas",GTT - Gaztransport et Technigaz 1 route de Versailles FR-78470 Saint-Rémy-lès-Chevreuse France,http://www.gtt.fr
NICOX,"4000, HealthCare","Nicox Drakkar D, 2405 Route des Dolines BP 313 FR-06560 Valbonne France",http://www.nicox.com
AMOEBA,"1000, BasicMaterials",Amoéba 38 Avenue des Frères Mongolfier FR-69680 Chassieu France,http://www.amoeba-biocide.com/fr
PIXIUM VISION,"4000, HealthCare",Pixium Vision 74 Rue du Faubourg Saint Antoine FR-75012 Paris France,http://www.pixium-vision.com
VALNEVA,"4000, HealthCare",Valneva SE 6 Rue Alain Bombard FR-44800 Saint-Herblain France,http://www.valneva.com
TRIGANO,"3000, ConsumerGoods",Trigano 100 Rue Petit FR-75019 Paris France,http://www.trigano-finance.com/fr/finance/chiffres
ADP,"2000, Industrials",Groupe ADP 1 Rue de France FR-93290 Tremblay-en-France France,http://www.groupeadp.fr
SHURGARD,"8000, Financials",Shurgard Self-Storage 6c Rue Gabriel Lippmann LU-5365 Munsbach Luxembourg,https://www.shurgard.eu
INTERVEST OFF-WARE,"8000, Financials","Intervest Offices & Warehouses Uitbreidingstraat 66 BE-2600 Berchem, Antwerpen Belgium",http://www.intervest.be
XIOR,"8000, Financials","Xior Student Housing Mechelsesteenweg 34 box 108 BE-2018 Antwerpen, Antwerpen Belgium",http://www.xior.be/nl/investor
MND,"2000, Industrials",MND Group (Montagne et Neige Développement) 74 voie Magellan FR-73800 Sainte-Hélène-du-Lac France,http://www.mnd-group.com
BONE THERAPEUTICS,"4000, HealthCare","Bone Therapeutics SA Rue Auguste Piccard 37 BE-6041 Gosselies, Charleroi, Hainaut Belgium",http://www.bonetherapeutics.com/
KEYWARE TECH.,"9000, Technology","Keyware Technologies Ikaros Business Park Ikaroslaan 24 BE-1930 Zaventem, Vlaams-Brabant Belgium",http://www.keyware.com
IBA,"4000, HealthCare","Ion Beam Applications SA Chemin du Cyclotron 3 BE-1348 Louvain-la-Neuve, Ottignies-Louvain-la-Neuve, Brabant wallon Belgium",http://www.iba-worldwide.com
BEFIMMO,"8000, Financials","Befimmo SA Parc Goemaere Chaussée de Warve 1945 BE-1160 Bruxelles, Bruxelles-Capitale Belgium",https://www.befimmo.be/fr
GREENYARD,"3000, ConsumerGoods",Greenyard NV Strijbroek 10 BE-2860 Sint-Katelijne-Waver Belgium,http://www.greenyardfoods.com
KINEPOLIS GROUP,"5000, Consumer Services","Kinepolis Group SA Boulevard du Centenaire 20 BE-1020 Bruxelles, Bruxelles-Capitale Belgium",http://www.kinepolis.com
GIMV,"8000, Financials","Gimv NV Karel Oomsstraat 37 BE-2018 Antwerpen, Antwerpen Belgium",http://www.gimv.com
SOFINA,"8000, Financials","Sofina Rue de l&#039; Industriestrasse 31 BE-1040 Bruxelles, Bruxelles-Capitale Belgium",http://www.sofina.be
ASIT,"4000, HealthCare",ASIT biotech SA Rue des Chasseurs Ardennais 7 BE-4031 Liège Belgium,http://asitbiotech.com
QUESTFOR GR-PRICAF,"8000, Financials","Quest for Growth Lei 19 BP Box 3 BE-3000 Leuven, Vlaams-Brabant Belgium",http://www.questforgrowth.com
ORANGE BELGIUM,"6000, Telecommunications","Orange Belgium Avenue du Bourget 3 BE-1140 Bruxelles, Bruxelles-Capitale Belgium",https://corporate.orange.be/fr
ACKERMANS V.HAAREN,"8000, Financials","Ackermans & van Haaren SA Begijnenvest 113 BE-2000 Antwerpen, Antwerpen Belgium",http://www.avh.be
BARCO,"2000, Industrials","Barco NV Beneluxpark 21 BE-8500 Kortrijk, West-Vlaanderen Belgium",http://www.barco.com
OXURION,"4000, HealthCare","Oxurion Gaston Geenslaan 1 BE-3001 Heverlee, Leuven, Vlaams-Brabant Belgium",https://www.oxurion.com
GENKYOTEX,"4000, HealthCare",Genkyotex Forum 2 Archamps Technopole 218 Avenue Marie Curie FR-74166 Saint-Julien- en-Genevois France,https://www.genkyotex.com
RECTICEL,"1000, BasicMaterials","Recticel Avenue des Olympiades 2 BE-1140 Bruxelles, Bruxelles-Capitale Belgium",http://www.recticel.com
KBC ANCORA,"8000, Financials","KBC Ancora Muntstraat 1 BE-3000 Leuven, Vlaams-Brabant Belgium",http://www.kbcancora.be
AEDIFICA,"8000, Financials","Aedifica SA Box 11 Rue Belliard 40 BE-1040 Bruxelles, Bruxelles-Capitale Belgium",http://www.aedifica.be
COFINIMMO,"8000, Financials","Cofinimmo Boulevard de la Woluwe 58 BE-1200 Bruxelles, Bruxelles-Capitale Belgium",http://www.cofinimmo.com
D''IETEREN,"5000, Consumer Services","D'Ieteren Rue du Mail 50 BE-1050 Bruxelles, Bruxelles-Capitale Belgium",http://www.dieteren.com
LATECOERE,"2000, Industrials",Latécoère 135 Rue de Périole BP 25211 FR-31079 Balma Cedex 5 France,http://www.latecoere.fr
S.E.B.,"3000, ConsumerGoods",Groupe Seb 112 Chemin du Moulin Carron BP 172 FR-69130 Écully France,http://www.groupeseb.com
CROSSJECT,"4000, HealthCare",Crossject Parc Mazen-Sully 6 Rue Pauline Kergomard FR-21000 Dijon France,https://www.crossject.com/fr
BENETEAU,"3000, ConsumerGoods",Bénéteau Les Embruns 16 Boulevard de la Mer 319 FR-85803 Saint-Gilles-Croix-de-Vie France,http://www.beneteau-group.com
CATANA GROUP,"3000, ConsumerGoods",Catana Group Zone Technique du Port FR-66140 Canet-en-Roussillon France,http://www.catanagroup.com/fr/
ONXEO,"4000, HealthCare",Onxeo 49 Boulevard du Général Martial Valin FR-75015 Paris France,http://www.onxeo.com
NEXITY,"8000, Financials",Nexity 19 Rue de Vienne FR-75801 Paris Cedex 08 France,http://www.nexity.fr
AGROGENERATION,"3000, ConsumerGoods",AgroGeneration 3 Rue de la Pompe FR-75116 Paris France,http://www.agrogeneration.com
IMPLANET,"4000, HealthCare",Implanet Technopole Bordeaux Montesquieu Allée François Magendie FR-33650 Martillac France,http://www.implanet.com
MULTIMICROCLOUD,"9000, Technology",Multimicrocloud 14 Avenue Henri Becquerel FR-33700 Mérignac France,http://www.multimicro.fr
MAUREL ET PROM,"0001, Oil & Gas",Maurel & Prom 51 Rue d&#039;Anjou FR-75008 Paris France,http://www.maureletprom.fr
DEINOVE,"0001, Oil & Gas","Deinove Cap Sigma, ZAC Euromédecine II 1682 Rue de la Valsière FR-34790 Grabels France",http://www.deinove.com/fr
BIOMERIEUX,"4000, HealthCare",bioMérieux 376 Chemin de l&#039;Orme FR-69280 Marcy l&#039;Etoile France,http://www.biomerieux.com
REMY COINTREAU,"3000, ConsumerGoods",Rémy Cointreau 21 Boulevard Haussmann FR-75009 Paris France,http://www.remy-cointreau.com
ICADE,"8000, Financials",Icade Immeuble Open 27 Rue Camille Desmoulins CS 10166 FR-92445 Issy-les-Moulineaux Cedex France,http://www.icade.fr
TELEPERFORMANCE,"2000, Industrials",Teleperformance 21-25 Rue Balzac FR-75008 Paris France,http://www.teleperformance.com
NOVACYT,"4000, HealthCare",Novacyt 13 Avenue Morane Saulnier FR-78140 Vélizy-Villacoublay France,http://www.novacyt.com
SARTORIUS STED BIO,"4000, HealthCare",Sartorius Stedim Biotech Zone Industrielle les Paluds Avenue de Jouques BP 1051 FR-13781 Aubagne Cedex France,http://www.sartorius-stedim.fr
FNAC DARTY,"5000, Consumer Services",Fnac Darty 9 Rue des Bâteaux-Lavoirs FR-94200 Ivry-sur-Seine France,http://www.fnacdarty.com
RALLYE,"5000, Consumer Services",Rallye 83 Rue du Faubourg Saint-Honoré FR-75008 Paris France,http://www.rallye.fr
TARKETT,"2000, Industrials",Tarkett la Tour Initiale 1 Terrasse Bellini FR-92919 Paris-la-Défense France,http://www.tarkett.com
EURAZEO,"8000, Financials",Eurazeo 1 Rue de Georges Berger FR-75017 Paris France,https://www.eurazeo.com/
BEKAERT,"1000, BasicMaterials","Bekaert SA Bekaertstraat 2 BE-8500 Kortrijk, West-Vlaanderen Belgium",https://www.bekaert.com/
PROLOGUE,"9000, Technology",Prologue 101 Avenue Laurent Cely FR-92230 Gennevilliers France,http://www.prologue.fr
VERIMATRIX,"9000, Technology","Verimatrix Arteparc Bachasson, Bât A Rue de la Carrière de Bachasson FR-13590 Meyreuil France",http://www.verimatrix.com
ACACIA PHARMA,"4000, HealthCare","Acacia Pharma Group Royston Road CB22 4QH Cambridge, Cambridgeshire United Kingdom",http://www.acaciapharma.com
MELEXIS,"9000, Technology","Melexis Rozendaalstraat 12 BE-8900 Ieper, West-Vlaanderen Belgium",http://www.melexis.com
ELIA,"7000, Utilities","Elia System Operator Boulevard de l&#039; Empereur 20 BE-1000 Bruxelles, Bruxelles-Capitale Belgium",http://www.elia.be
BIOCARTIS,"4000, HealthCare","Biocartis Group NV Generaal De Wittelaan 11 B3 BE-2800 Mechelen, Antwerpen Belgium",https://investors.biocartis.com/en/entry
MITHRA,"4000, HealthCare","Mithra Pharmaceuticals Rue Saint-George 5 BE-4000 Rocourt, Liège Belgium",http://www.mithra.com/en/
MDXHEALTH,"4000, HealthCare","MDxHealth SA CAP Business Center Rue d&#039; Abhooz 31 BE-4040 Herstal, Liège Belgium",https://mdxhealth.com/
ACCENTIS,"8000, Financials","Accentis nv Noorderlaan 139 BE-2030 Antwerpen, Antwerpen Belgium",http://www.accentis.com
TELENET GROUP,"5000, Consumer Services","Telenet Group Holding Neerveldstraat 105 BE-1200 Bruxelles, Bruxelles-Capitale Belgium",http://www.telenet.be
ONTEX GROUP,"3000, ConsumerGoods","Ontex Group Korte Keppestraat 21 BE-9320 Erembodegem, Aalst, Oost-Vlaanderen Belgium",http://www.ontexglobal.com
GBL,"8000, Financials","Groupe Bruxelles Lambert Avenue Marnix 24 BE-1000 Bruxelles, Bruxelles-Capitale Belgium",http://www.gbl.be
ARGENX SE,"4000, HealthCare",argenx SE 5 Willemstraat NL-4811 AH Breda Netherlands,http://www.argen-x.com
COLRUYT,"5000, Consumer Services","Colruyt NV Wilgenveld Edingensesteenweg 196 BE-1500 Halle, Vlaams-Brabant Belgium",https://www.colruytgroup.com
BPOST,"2000, Industrials","bpost SA Centre Monnaie - Muntcentrum BE-1000 Bruxelles, Bruxelles-Capitale Belgium",https://corporate.bpost.be
