Name,产业,員工人數,网站,代表人物,總資產,成立,總部
全聚德,,,http://www.quanjude.com.cn/,楊福來,,1864年， 北京 东城区前门大街30号（总店）,中国 北京
内蒙古兴业矿业股份有限公司,有色金属矿采选业,,,,,,
成都市兴蓉投资股份有限公司,公共设施服务业,,,,,,
珠海全志科技股份有限公司,,,http://www.allwinnertech.com/,,,2007年,中華人民共和国 ， 廣東省 珠海市
克明麵業 ,農業、輕工業,2000+,http://www.kemen.cn/,,,1984年,中华人民共和国 湖南省 益阳市
吉林光华控股集团股份有限公司,房地产开发与经营业,,,,,,
光线传媒有限公司,演唱会、电影与电视剧制作和发行、艺人管理,400+,,王长田,,1998年,中国 北京
供銷大集集團股份有限公司,批发和零售贸易,,,,,,
佛山电器照明股份有限公司,电器机械及器材制造业,,,,,1958,
浙江伟星实业发展股份有限公司,纺织品辅料,7552人 [2],http://www.weixing.cn/,董事长 ： 章卡鹏,,2000年8月31日,中华人民共和国 浙江省 台州市 临海市 前江南路8号
仲景宛西制药股份有限公司,中成药 制药业,,http://www.china-medicines.com/,孙耀志,,1978年,中华人民共和国 河南省 西峡县 仲景大道168号 [1]
众泰汽车股份有限公司,制造业,,http://www.hsjinma.com/,董事长 ： 金浙勇,,1998年8月31日 [1],中华人民共和国 安徽省 黄山市 歙县 经济开发区
仁和药业股份有限公司,医药制造业,,,,,,江西省 樟树市 药都南大道158号
亿城集团股份有限公司,房地产开发与经营业,,,,,,
京东方科技集团股份有限公司,电子,,http://www.boe.com,王东升 （ 董事长 ）,,1993年4月 ( 1993-04 ),中国 北京市 大兴区 经济技术开发区西环中路12号
宜宾五粮液集团有限公司,酒,,http://www.wuliangye.com.cn,董事長 ：李曙光,,1998年,中國 四川 宜賓
丽珠医药集团股份有限公司,医药制造业,,,朱保国 （董事长）,,1985年1月26日,中国 广东省 珠海市
九阳,家用电器,,http://www.joyoung.com.cn,,,(1994年 ( 1994 ) ),中国 山东 济南
丹东化学纤维股份有限公司,化学纤维制造业,,,,,,
