Name,Industry,Number of employees,Website,Key people,Revenue,Founded,Headquarters
Permanent TSB Group Holdings plc,Financial services,,http://www.permanenttsbgroup.ie/,Jeremy Masding (CEO) Alan Cook ( Chairman of the Board),€694 million (2015) [1],1884,"Dublin , Ireland"
Kingspan Group plc,,"13,469 (2018) [1]",http://www.kingspan.com/,"Eugene Murtagh, Chairman Gene Murtagh, CEO","€ 4,372.5 million (2018) [1]",1966,"Kingscourt , County Cavan , Ireland"
Origin Enterprises plc,Food,,http://www.originenterprises.com/,"Rose Hynes, (Non-Executive Chairman) Tom O’Mahony, ( CEO )","€ 1,521.3 (2016) [1]",2006,"Dublin , Ireland"
Fyffes plc,Produce,,http://www.fyffes.com,D. V. McCann Chairman,"€ 1,090.9 million (2014) [1]",1888,"Dublin , Ireland"
Hibernia REIT plc,,,https://www.hiberniareit.com/,"Kevin Nowlan, CEO Tom Edwards Moss, CFO Frank O'Neil, Chief operating officer [1] Daniel Kitchen, Chairman [2]",,2013 ; 6 years ago ( 2013 ),"Dublin , Ireland"
Tullow Oil plc,Oil and gas exploration,,http://www.tullowoil.com,Dorothy Thompson ( Chairman ) Paul McDade ( CEO ),"$ 1,859.2 million (2018) [1]","1985 in Tullow , Ireland","London, United Kingdom"
Independent News and Media plc,Media,825 (2018) [3],http://www.inmplc.com,"Marc Vangeel, CEO [2]",€191 million (2018) [3],"Dublin, Ireland (1904) by William Martin Murphy","Dublin, Ireland"
Kerry Group plc,,"25,255 (2018) [1]",http://www.kerrygroup.com,"Philip Toomey, ( Chairman ) Edmond Scanlon, CEO","€6,607.6 million (2018) [1]","1972 ; 47 years ago ( 1972 ) in Listowel , Kerry, Ireland","Tralee , Kerry , Ireland"
Datalex plc,,300 as of April 2015 [5],https://www.datalex.com/,"Sean Corkery, CEO and interim Chairman [1] [2] Ornagh Hoban, CMO [3]",$63.9 million (2017) [4],1985 ; 34 years ago ( 1985 ),"Dublin , Ireland"
C&C Group plc,Beverages,,http://www.candcgroupplc.com,"Stuart Gilliland, Chairman Stephen Glancey, CEO Andrea Pozzi, COO",€ 986.5 million (2015) [1],"Belfast , Ireland (1852)","Dublin , Ireland"
CRH plc,Building materials,"85,000 (2019) [2]",http://www.crh.ie/,"Nicky Hartery , (Chairman) Albert Manifold , (CEO)","€ 26,790 million (2018) [1]","Cement Limited (1936), Roadstone Limited (1949) & merger to form Cement Roadstone Holdings (1970)","Dublin , Ireland"
Bank of Ireland Group plc,Banking Financial services,"11,086 (2014)",http://bankofireland.com,Patrick Kennedy Governor Francesca McDonagh CEO,"€2,974 million (2014)",5 April 1783 ; 236 years ago ( 1783-04-05 ),"40 Mespil Road, Ballsbridge , Dublin , Ireland"
CPL Resources plc,"human resources for IT, administration, healthcare, engineering, construction and financial world",,http://www.cpljobs.com/ie,Anne Heraty ( CEO ) Paul Carrol (business development) Josephine Tierney ( CFO ),"€ 212,4 million (2009) € 257,6 million (2008)",1992,"Dublin , Ireland"
"Allied Irish Banks, p.l.c.",Banking,"10,500  (2017)",https://aib.ie/,Richard Pym ( Chairman ) Colin Hunt ( CEO ) [1],,21 September 1966 ; 53 years ago ( 1966-09-21 ),"Ballsbridge , Dublin , Ireland"
ASML Holding N.V.,Semiconductor industry,">23,000 (2019) , 123 different nationalities [2]",http://www.asml.com,"Peter Wennink ( CEO ) , Gerard Kleisterlee ( Chairman of the supervisory board )",€ 10.944 billion (2018) [1],1984 ; 35 years ago ( 1984 ),"Veldhoven , Netherlands"
Royal Boskalis Westminster N.V.,"Construction , services","13,830 (end 2010) [1]",http://www.boskalis.com,"Peter Berdowski ( CEO ) , Herman Hazewinkel ( Chairman of the supervisory board )",€2.674 billion (2010) [1],1910 ; 109 years ago ( 1910 ),"Papendrecht , Netherlands"
FBD Holdings plc,,,http://www.fbdgroup.ie,"Michael Berkery, Chairman Fiona Muldoon, CEO",€ 406.3 million (2014) [1],1969 ; 50 years ago ( 1969 ),"Dublin , Ireland"
Altice Europe NV,Telecommunications Mass media,"47,143 (2018)",http://www.altice.net,Patrick Drahi (Chairman) Dexter Goei (CEO),"€ 2,54 billion (2017)",2001 ; 18 years ago ( 2001 ),"Woerden , Netherlands"
Lucas Bols N.V.,Drinks,68,http://www.lucasbols.com/,"Huub van Doorne , CEO",€80 million (2017),1575,"Amsterdam , the Netherlands"
"ArcelorMittal, S.A.",Steel,"209,000 (2018)",http://corporate.arcelormittal.com,Lakshmi Mittal ( Chairman and CEO ) Aditya Mittal ( CFO ),US$ 96.03 billion (2018) [1],2006 ; 13 years ago ( 2006 ),"24-26, Boulevard d’Avranches, Luxembourg City , Luxembourg"
Akzo Nobel N.V.,Chemicals,"34,500 (end 2018) [1]",https://www.akzonobel.com/,Thierry Vanlancker ( CEO ) Nils Smedegaard Andersen ( Chairman of the supervisory board ),€ 9.61 billion (2018) [1],1994 ; 25 years ago ( 1994 ),"Amsterdam , Netherlands"
ABN AMRO Group N.V.,Financial services,,http://www.abnamro.com/,Kees van Dijkhuizen (CEO),,18 December 2009,"Amsterdam , Netherlands"
Aalberts N.V.,"Manufacturing, engineering","16,452 (end 2018) [1]",http://www.aalberts.com/,Wim Pelsma ( CEO ) Arno Monincx ( CFO ) Oliver Jäger (Executive Director),"€ 2,759 million (end 2018) [1]",1975,"Utrecht , Netherlands"
Koninklijke Ahold Delhaize N.V.,Retail,,"https://www.aholddelhaize.com/,https://www.wikidata.org/wiki/Q20539261?uselang=en#P856",Frans Muller (President and CEO) Kevin Holt (CEO Ahold Delhaize USA) Wouter Kolk (CEO the Netherlands and Belgium) Jeff Carr (CFO),€ 62.3 Billion,24 July 2016 ; 3 years ago ( 2016-07-24 ),"Zaandam , Netherlands"
Ajax,,,http://www.ajax.nl/,,,18 March 1900 ; 119 years ago ( 1900-03-18 ),
AFC Ajax N.V.,Sports,339 (December 2012),http://www.ajax.nl/,"Hennie Henrichs ( Chairman & CEO ) Henri van der Aat ( Commercial Director ) Jeroen Slop ( Financial Director ) Hans Wijers ( Chairman , Board of Commissioners )",€ 118 million (2017) [1],1998,"Amsterdam , Netherlands"
Aegon N.V.,Financial services,"28,318 (end 2017) [1]",http://www.aegon.com/,Alexander Wynaendts ( CEO ),€ 57.910 billion (2017) [1],1983 ; 36 years ago ( 1983 ),"The Hague , Netherlands"
