Name,業種,従業員数,外部リンク,関係する人物,資本金,設立,本店所在地
鹿島建設株式会社,建設業,連結：16422人　単体：7611名 （2017年3月末現在）,https://www.kajima.co.jp/,鹿島守之助 、 渥美健夫 、 石川六郎 、 中曽根康弘,"814億4,700万円（2017年3月）",1840年 創業　法人設立 1930年 （昭和5年） 2月22日,
カシオ計算機株式会社,電気機器,"連結：1万2,287名 単体：2,754名 （2017年3月31日現在）",https://casio.jp/,樫尾和雄,485億92百万円 （2017年3月31日現在）,1957年 （昭和32年） 6月1日 （創業： 1946年 （昭和21年） 4月 ）,
河西工業株式会社,輸送用機器,"単体1,153人 連結8,361人 （2016年3月31日現在）",https://www.kasai.co.jp/,,"58億2,110万円 （2016年3月31日現在）",1946年 （昭和21年）10月26日,
科研製薬株式会社,医薬品,"連結：1,389［284］人 単独：1,382［280］人 （2018年3月31日現在） [1]",http://www.kaken.co.jp/,,"238億5,300万円 （2018年3月期） [1]",1948年 3月1日,
株式会社学情,サービス業,260人,https://company.gakujo.ne.jp/,,15億円（2017年10月）,1977年 11月7日,
カゴメ株式会社,食料品,"連結：2,504名 単独:1,592名 （2018年12月期） [1]",https://www.kagome.co.jp/,蟹江一太郎 （創業者） 蟹江一忠 （元社長） 蟹江英吉 （元社長） 蟹江嘉信 （元社長） 蟹江幹彦 （ 青林堂 社長） 喜岡浩二 （元社長）,199億85百万円 （ 2018年 12月31日時点） [1],1949年 （昭和24年） 8月1日 （愛知トマト株式会社）（創業： 1899年 （明治32年））,〒 460-0003 愛知県 名古屋市 中区 錦三丁目 14番15号
加賀電子株式会社,卸売業,"連結：6,627人 単独：573人 （2019年3月31日現在）",,,121億33百万円,1968年 （ 昭和 43年） 9月12日,
株式会社カカクコム,サービス業,851人 （2018年3月現在）,https://corporate.kakaku.com/,槙野光昭 （創業者）,9億1598万4千円 （2016年3月31日現在）,1997年 （平成9年） 12月,
カーリットホールディングス株式会社,化学,290人（2014年3月）,http://www.carlit.co.jp/,,12億460万円（2013年3月）,1934年 3月24日,
株式会社オンワードホールディングス,繊維製品,"連結4,456名（2017年2月）",https://www.onward-hd.co.jp/,,"300億7,900万円",1947年 （ 昭和 22年） 9月4日 [1] （樫山商事株式会社）,
